provincia,tipo de averia y emergencia,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,ano
hato mayor,riego de vida,42,52,57,74,52,72,94,125,90,81,58,59,2025
la altagracia,falta de energia,1113,1119,1333,1430,1698,2021,2429,2723,2591,2305,1555,1179,2025
la altagracia,níveles de tension,127,160,149,176,225,254,331,334,313,294,177,171,2025
la altagracia,probable defecto o falla,2,8,5,3,4,9,7,12,11,26,7,6,2025
la altagracia,riego de vida,148,110,151,159,184,213,300,368,374,286,183,151,2025
la romana,falta de energia,1122,1285,1537,1537,1874,1898,2112,2643,2673,2654,1565,1344,2025
la romana,níveles de tension,140,205,232,282,353,334,441,488,432,510,337,330,2025
la romana,probable defecto o falla,1,3,1,3,3,3,9,7,9,7,3,3,2025
la romana,riego de vida,115,121,131,137,166,194,210,369,339,397,174,152,2025
monte plata,falta de energia,632,695,833,915,1292,1060,1230,1352,1015,1255,814,1021,2025
monte plata,níveles de tension,65,82,66,102,157,108,145,184,122,144,92,138,2025
monte plata,probable defecto o falla,3,4,5,10,5,11,20,32,10,12,8,11,2025
monte plata,riego de vida,90,87,100,154,192,172,188,231,175,188,162,132,2025
san pedro de macoris,falta de energia,934,968,1011,1155,1501,1466,1721,2324,1899,2266,1338,1112,2025
san pedro de macoris,níveles de tension,119,127,139,137,190,204,252,284,228,277,182,192,2025
san pedro de macoris,probable defecto o falla,2,1,3,2,9,5,9,16,4,7,3,7,2025
san pedro de macoris,riego de vida,113,134,145,148,205,193,241,343,236,291,144,146,2025
santo domingo,falta de energia,9528,9994,11672,12481,15309,13670,14381,16703,14552,16895,13275,12036,2025
santo domingo,níveles de tension,1797,2059,2239,2579,3019,2991,3660,3768,3167,3771,3163,2743,2025
santo domingo,probable defecto o falla,29,34,24,35,35,49,38,82,40,72,42,36,2025
santo domingo,riego de vida,698,752,774,917,1023,1023,1137,1605,1361,1574,1159,862,2025
distrito nacional,falta de energia,2334,2188,3092,3050,2904,2623,2553,,,,,,2026
distrito nacional,níveles de tension,573,571,683,719,618,585,580,,,,,,2026
distrito nacional,probable defecto o falla,7,3,4,9,4,4,7,,,,,,2026
distrito nacional,riego de vida,155,200,247,291,273,275,278,,,,,,2026
el seibo,falta de energia,370,424,552,569,626,663,750,,,,,,2026
el seibo,níveles de tension,38,51,47,63,63,100,80,,,,,,2026
el seibo,probable defecto o falla,5,1,2,2,7,0,0,,,,,,2026
el seibo,riego de vida,50,54,43,69,73,79,79,,,,,,2026
hato mayor,falta de energia,431,447,474,581,710,803,838,,,,,,2026
hato mayor,níveles de tension,65,47,71,75,94,137,152,,,,,,2026
hato mayor,probable defecto o falla,1,6,5,5,6,4,4,,,,,,2026
hato mayor,riego de vida,59,58,46,78,88,96,104,,,,,,2026
la altagracia,falta de energia,1193,1218,1500,1607,2293,2184,2045,,,,,,2026
la altagracia,níveles de tension,189,180,203,259,312,276,269,,,,,,2026
la altagracia,probable defecto o falla,6,11,13,7,12,6,6,,,,,,2026
la altagracia,riego de vida,144,144,207,215,284,302,305,,,,,,2026
la romana,falta de energia,1329,1180,1613,1824,2039,2490,2574,,,,,,2026
la romana,níveles de tension,265,242,302,360,391,457,438,,,,,,2026
la romana,probable defecto o falla,6,1,5,1,1,4,4,,,,,,2026
la romana,riego de vida,125,121,168,180,216,277,293,,,,,,2026
monte plata,falta de energia,874,792,1017,1048,1321,1169,1311,,,,,,2026
monte plata,níveles de tension,120,78,121,153,162,149,154,,,,,,2026
monte plata,probable defecto o falla,8,3,10,8,10,6,6,,,,,,2026
monte plata,riego de vida,117,127,153,197,231,224,232,,,,,,2026
san pedro de macoris,falta de energia,1010,1079,1407,1361,1735,1799,1666,,,,,,2026
san pedro de macoris,níveles de tension,178,148,210,194,255,261,218,,,,,,2026
san pedro de macoris,probable defecto o falla,6,4,4,5,8,2,2,,,,,,2026
san pedro de macoris,riego de vida,117,126,186,192,223,270,259,,,,,,2026
santo domingo,falta de energia,10888,10539,13655,13411,13829,12736,12957,,,,,,2026
santo domingo,níveles de tension,2680,2472,3146,3215,3149,2850,3007,,,,,,2026
santo domingo,probable defecto o falla,14,25,41,60,39,33,34,,,,,,2026
santo domingo,riego de vida,776,788,1072,1227,1479,1428,1372,,,,,,2026
