provincia,tipo de averia y emergencia,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,ano
monte plata,probable defecto o falla,2,6,6,4,3,3,4,4,3,5,3,3,2018
monte plata,riesgo de vida,104,109,84,118,112,103,132,127,112,132,89,92,2018
san pedro de macoris,alumbrado publico,0,0,0,0,0,,0,0,0,0,0,0,2018
san pedro de macoris,falta de energia,733,728,719,627,650,543,679,823,713,881,769,725,2018
san pedro de macoris,niveles de tension,89,111,116,71,76,85,96,106,96,100,83,85,2018
san pedro de macoris,otros,0,0,0,0,1,1,2,,,0,0,0,2018
san pedro de macoris,probable defecto o falla,1,2,7,5,1,1,7,3,1,7,7,1,2018
san pedro de macoris,riesgo de vida,120,142,155,113,121,95,150,191,174,169,135,179,2018
santo domingo,alumbrado publico,0,0,1,0,0,0,0,0,0,0,0,0,2018
santo domingo,falta de energia,9152,7309,8277,8486,8995,7679,10305,9849,9658,9720,9009,8655,2018
santo domingo,niveles de tension,1705,1427,1542,1681,1965,1630,2060,2036,2044,1717,1636,1667,2018
santo domingo,otros,0,1,2,2,1,1,1,2,0,1,1,1,2018
santo domingo,probable defecto o falla,20,18,19,20,37,38,57,39,34,25,24,31,2018
santo domingo,riesgo de vida,1011,765,909,1028,1097,910,1218,1176,1205,1129,1159,1165,2018
santo domingo,sin identificar,0,1,0,1,1,0,0,0,3,0,0,2,2018
santo domingo,falta de energia,0,1,0,0,0,0,0,0,1,0,1,0,2018
santo domingo,niveles de tension,0,0,0,0,1,0,0,0,2,0,0,0,2018
santo domingo,riesgo de vida,0,0,0,1,0,0,0,0,0,0,0,0,2018
distrito nacional,alumbrado publico,0,0,0,0,0,0,0,0,0,0,0,0,2019
distrito nacional,falta de energia,2212,1682,1802,1700,2186,2224,2294,2324,2540,1972,1800,1700,2019
distrito nacional,niveles de tension,385,281,325,334,388,436,418,477,497,362,313,334,2019
distrito nacional,otros,0,0,0,0,0,0,0,0,0,0,0,0,2019
distrito nacional,probable defecto o falla,4,2,6,5,8,16,11,10,12,10,5,5,2019
distrito nacional,riesgo de vida,268,197,202,207,301,304,290,278,364,252,254,207,2019
el seibo,falta de energia,408,260,301,329,347,375,369,322,483,401,346,329,2019
el seibo,niveles de tension,54,37,34,45,26,39,52,58,44,29,28,45,2019
el seibo,otros,0,0,0,0,0,0,0,0,0,0,0,0,2019
el seibo,probable defecto o falla,1,,1,1,3,3,0,1,2,1,0,1,2019
el seibo,riesgo de vida,48,26,25,47,37,58,58,57,61,49,33,47,2019
hato mayor,falta de energia,460,320,307,353,450,423,384,387,516,376,348,353,2019
hato mayor,niveles de tension,51,42,24,42,53,72,70,42,57,58,31,42,2019
hato mayor,otros,1,0,0,0,0,0,0,0,0,0,0,0,2019
hato mayor,probable defecto o falla,2,1,,1,1,4,1,7,2,0,4,1,2019
hato mayor,riesgo de vida,61,32,52,49,72,52,42,64,68,34,39,49,2019
la altagracia,falta de energia,965,717,891,829,1078,1244,1181,1159,1382,971,882,829,2019
la altagracia,niveles de tension,121,110,112,121,157,192,218,189,238,141,142,121,2019
la altagracia,otros,0,,1,0,0,0,0,0,0,0,0,0,2019
la altagracia,probable defecto o falla,1,,1,0,1,3,3,1,1,2,3,0,2019
la altagracia,riesgo de vida,191,132,159,126,193,212,192,188,225,139,99,126,2019
la romana,alumbrado publico,0,0,0,1,0,0,0,0,0,0,0,1,2019
la romana,falta de energia,1008,764,828,720,1078,1188,1179,1020,1242,1000,886,720,2019
la romana,niveles de tension,147,120,125,156,166,219,223,186,213,131,148,156,2019
la romana,otros,0,0,0,0,0,0,0,0,0,0,0,0,2019
la romana,probable defecto o falla,1,1,2,2,2,4,5,2,1,1,5,2,2019
la romana,riesgo de vida,140,103,136,122,162,170,189,160,190,135,133,122,2019
monte plata,falta de energia,484,359,430,480,608,641,651,674,709,517,425,480,2019
monte plata,niveles de tension,49,27,34,51,58,70,57,60,93,54,49,51,2019
monte plata,otros,0,,2,0,0,0,0,0,0,0,0,2,2019
monte plata,probable defecto o falla,8,4,9,10,1,4,6,4,6,8,6,9,2019
monte plata,riesgo de vida,151,99,138,123,164,172,146,124,169,147,94,138,2019
san pedro de macoris,alumbrado publico,0,0,0,0,0,0,0,0,0,0,0,0,2019
san pedro de macoris,falta de energia,957,675,698,754,934,964,1017,943,974,786,818,698,2019
san pedro de macoris,niveles de tension,111,79,83,144,140,125,148,155,133,108,111,83,2019
san pedro de macoris,otros,1,0,0,0,0,1,0,0,1,0,0,0,2019
san pedro de macoris,probable defecto o falla,4,5,5,2,3,5,2,6,8,5,6,5,2019
san pedro de macoris,riesgo de vida,155,138,97,175,189,179,224,162,209,140,120,97,2019
santo domingo,alumbrado publico,1,,,0,0,0,2,0,1,0,0,,2019
santo domingo,falta de energia,10656,7660,8331,8933,10148,10872,11829,11459,14138,10560,9442,8331,2019
santo domingo,niveles de tension,2045,1495,1395,1717,1926,2160,2387,2396,2856,2185,1779,1395,2019
santo domingo,otros,1,,1,0,1,0,0,0,1,1,0,1,2019
santo domingo,probable defecto o falla,30,32,26,21,32,36,37,28,42,27,20,26,2019
santo domingo,riesgo de vida,1184,824,935,951,1174,1232,1316,1227,1363,878,839,935,2019
santo domingo,sin identificar,0,0,0,0,0,0,0,0,0,0,0,0,2019
santo domingo,falta de energia,0,0,0,2,0,0,0,0,0,1,0,0,2019
santo domingo,niveles de tension,0,0,0,0,0,0,0,0,0,0,0,0,2019
